color       hex     r       g       b       256    

black0      101210  16      18      16      233
red1        AF875F  175     135     95      137
green2      5F875F  95      135     95      65
yellow3     FFD787  255     215     135     222
blue4       2A2ADA  42      42      218     62
magenta5    D75F87  215     95      135     168
cyan6       87AFAF  135     175     175     109
white7      D8DEDA  216     222     218     194
bblack8     6A746E  106     116     110     243
bred9       FF5622  255     86      34      203
bgreen10    AFD7AF  96      175     215     175
byellow11   F4F028  244     240     40      227
bblue12     6AA6FF  106     166     255     75
bmagenta13  Fa007E  250     0       126     198
bcyan14     9CDEC0  174     250     216     159
bwhite15    F6FEFA  246     254     250     231


